date,close,high,low,open,volume
2019-08-01 13:30:00+00:00,139.990005493164,139.990005493164,139.990005493164,139.990005493164,196282.0
2019-08-01 13:31:00+00:00,138.97000122070298,141.5,138.97000122070298,139.704299926758,75698.0
2019-08-01 13:32:00+00:00,139.360000610352,140.000305175781,138.710006713867,140.000305175781,90875.0
2019-08-01 13:33:00+00:00,140.809997558594,140.839996337891,138.759994506836,139.5,76913.0
2019-08-01 13:34:00+00:00,139.999893188477,140.820007324219,139.703506469727,140.800003051758,58998.0
2019-08-01 13:35:00+00:00,140.639999389648,140.740005493164,139.5,139.999893188477,48063.0
2019-08-01 13:36:00+00:00,140.060806274414,141.190002441406,140.0,140.599899291992,69906.0
2019-08-01 13:37:00+00:00,140.443801879883,140.97000122070298,140.0,140.0,39693.0
2019-08-01 13:38:00+00:00,140.794998168945,141.169998168945,140.429992675781,140.524993896484,46321.0
2019-08-01 13:39:00+00:00,141.106002807617,141.389999389648,140.479995727539,140.729995727539,39574.0
2019-08-01 13:40:00+00:00,140.12939453125,141.300003051758,139.75,141.131896972656,60241.0
2019-08-01 13:41:00+00:00,138.647598266602,140.320007324219,138.110000610352,140.01350402832,71741.0
2019-08-01 13:42:00+00:00,140.01589965820298,140.179992675781,138.270004272461,138.639999389648,48536.0
2019-08-01 13:43:00+00:00,139.300003051758,140.03450012207,139.27999877929702,140.03450012207,82658.0
2019-08-01 13:44:00+00:00,139.0,139.320007324219,138.740005493164,139.300003051758,30786.0
2019-08-01 13:45:00+00:00,138.764999389648,138.764999389648,138.764999389648,138.764999389648,26049.0
2019-08-01 13:46:00+00:00,138.190002441406,138.610000610352,138.190002441406,138.304992675781,62255.0
2019-08-01 13:48:00+00:00,136.610000610352,137.339996337891,136.539993286133,137.300003051758,137178.0
2019-08-01 13:49:00+00:00,136.514999389648,137.289993286133,136.514999389648,136.679992675781,36041.0
2019-08-01 13:50:00+00:00,135.794998168945,136.909896850586,135.649993896484,136.509994506836,79738.0
2019-08-01 13:51:00+00:00,136.149993896484,136.509994506836,135.75,136.0,85569.0
2019-08-01 13:52:00+00:00,136.330001831055,136.600006103516,135.990005493164,136.259994506836,33513.0
2019-08-01 13:53:00+00:00,136.26989746093798,136.570007324219,135.550003051758,136.320007324219,44666.0
2019-08-01 13:54:00+00:00,135.72000122070298,136.410003662109,135.639999389648,136.15499877929702,48754.0
2019-08-01 13:55:00+00:00,136.36999511718798,136.42990112304702,135.740097045898,135.740097045898,22980.0
2019-08-01 13:56:00+00:00,137.069900512695,137.199996948242,136.22000122070298,136.304702758789,32385.0
2019-08-01 13:57:00+00:00,137.190002441406,137.490005493164,136.699996948242,136.989303588867,44733.0
2019-08-01 13:58:00+00:00,137.350006103516,137.759994506836,137.242492675781,137.339904785156,69465.0
2019-08-01 13:59:00+00:00,137.257507324219,137.490005493164,137.085006713867,137.38000488281202,48979.0
2019-08-01 14:00:00+00:00,137.375,137.739898681641,137.270004272461,137.330001831055,21754.0
